date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,eatclub_giveaway_ex_gst,eatclub_covers,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_admin_dollars,wages_assumed_dollars,wages_assumed_shifts,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2024-11-17,7288.46,752.72,10.3,0,0.0,,,6535.74,89.7,,,green,unknown,n/a,unknown,2985.72,4302.74,0.00,752.72,0.0,17.5,100.0,82.5,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-19,3981.50,452.72,11.4,3290.29,82.6,,,3528.78,88.6,,,green,unknown,n/a,unknown,1304.67,2676.83,0.00,452.72,0.0,16.9,100.0,83.1,1677.84,1020.88,0,591.57,2698.72,0,128.6,38.1,green,green,unknown,unknown,0,,
2024-11-20,5836.82,671.22,11.5,2713.85,46.5,,,5165.60,88.5,,,green,unknown,n/a,unknown,2398.52,3438.30,0.00,671.22,0.0,19.5,100.0,80.5,1211.48,1502.37,0,0,2713.85,0,50.5,43.7,green,green,unknown,unknown,0,,
2024-11-21,5417.66,707.88,13.1,2728.45,50.4,,,4709.78,86.9,,,green,unknown,n/a,unknown,1719.06,3698.60,0.00,707.88,0.0,19.1,100.0,80.9,1239.5,1488.94,0,0,2728.45,0,72.1,40.3,green,green,unknown,unknown,0,,
2024-11-22,9598.14,1271.91,13.3,4518.07,47.1,,,8326.23,86.7,,,green,unknown,n/a,unknown,2118.97,7479.17,0.00,1271.91,0.0,17.0,100.0,83.0,2436.77,2081.3,0,0,4518.07,0,115.0,27.8,green,green,unknown,unknown,0,,
2024-11-23,11599.28,1439.47,12.4,3605.44,31.1,,,10159.81,87.6,,,green,unknown,n/a,unknown,2911.53,8687.75,0.00,1439.47,0.0,16.6,100.0,83.4,1733.07,1872.36,0,0,3605.44,0,59.5,21.6,green,green,unknown,unknown,0,,
2024-11-24,7675.13,915.93,11.9,3167.14,41.3,,,6759.20,88.1,,,green,unknown,n/a,unknown,2836.05,4839.08,0.00,915.93,0.0,18.9,100.0,81.1,1157.28,2009.86,0,0,3167.14,0,40.8,41.5,green,green,unknown,unknown,0,,
2024-11-26,4020.90,371.59,9.2,3026.32,75.3,,,3649.31,90.8,,,green,unknown,n/a,unknown,1836.41,2184.49,0.00,371.59,0.0,17.0,100.0,83.0,1315.39,1026.05,0,684.88,2341.44,0,71.6,47.0,green,green,unknown,unknown,0,,
2024-11-27,6196.11,764.69,12.3,2840.11,45.8,,,5431.42,87.7,,,green,unknown,n/a,unknown,2012.64,4183.47,0.00,764.69,0.0,18.3,100.0,81.7,1158.66,1296.11,0,385.34,2454.77,0,57.6,31.0,green,green,unknown,unknown,0,,
2024-11-28,5754.99,755.75,13.1,2564.53,44.6,,,4999.24,86.9,,,green,unknown,n/a,unknown,2140.34,3614.65,0.00,755.75,0.0,20.9,100.0,79.1,1427.16,1137.36,0,0,2564.53,0,66.7,31.5,green,green,unknown,unknown,0,,
